word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,PUNCT,SCONJ,SYM,VERB,X
tell,0,0,0,0,0,0,0,0,0,0,0,0,24,0
affair,0,0,0,0,0,0,8,0,0,0,0,0,0,0
inspire,0,0,0,0,0,0,0,0,0,0,0,0,3,0
affectionate,1,0,0,0,0,0,0,0,0,0,0,0,0,0
sympathy,0,0,0,0,0,0,2,0,0,0,0,0,0,0
lover,0,0,0,0,0,0,1,0,0,0,0,0,0,0
apparent,2,0,0,0,0,0,0,0,0,0,0,0,0,0
manner,0,0,0,0,0,0,12,0,0,0,0,0,0,0
question,0,0,0,0,0,0,34,0,0,0,0,0,5,0
sort,0,0,0,0,0,0,11,0,0,0,0,0,0,0
well,21,0,9,0,0,0,0,0,0,0,0,0,0,0
apprise,0,0,0,0,0,0,0,0,0,0,0,0,1,0
double,3,0,0,0,0,0,0,0,0,0,0,0,4,0
hang,0,0,0,0,0,0,0,0,0,0,0,0,9,0
selfish,2,0,0,0,0,0,0,0,0,0,0,0,0,0
fellow,1,0,0,0,0,0,24,0,0,0,0,0,0,0
advise,0,0,0,0,0,0,0,0,0,0,0,0,3,0
rope,0,0,0,0,0,0,1,0,0,0,0,0,0,0
retort,0,0,0,0,0,0,0,0,0,0,0,0,2,0
dear,16,0,0,0,0,0,0,0,0,0,0,0,0,0
gift,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ubiquity,0,0,0,0,0,0,1,0,0,0,0,0,0,0
place,0,0,0,0,0,0,27,0,0,0,0,0,5,0
scour,0,0,0,0,0,0,0,0,0,0,0,0,3,0
pampa,0,0,0,0,0,0,2,0,0,0,0,0,0,0
prevent,0,0,0,0,0,0,0,0,0,0,0,0,12,0
subject,0,0,0,0,0,0,9,0,0,0,0,0,0,0
drop,0,0,0,0,0,0,1,0,0,0,0,0,4,0
continue,0,0,0,0,0,0,0,0,0,0,0,0,26,0
account,0,0,0,0,0,0,5,0,0,0,0,0,4,0
arrive,0,0,0,0,0,0,0,0,0,0,0,0,13,0
dead,16,0,0,0,0,0,0,0,0,0,0,0,0,0
south,0,0,5,0,0,0,7,0,0,0,0,0,0,0
coast,0,0,0,0,0,0,63,0,0,0,0,0,1,0
go,0,0,0,0,0,0,0,0,0,0,0,0,113,0
far,1,0,29,0,0,0,0,0,0,0,0,0,0,0
seventh,1,0,0,0,0,0,0,0,0,0,0,0,0,0
degree,0,0,0,0,0,0,34,0,0,0,0,0,0,0
southern,10,0,0,0,0,0,0,0,0,0,0,0,0,0
latitude,0,0,0,0,0,0,13,0,0,0,0,0,0,0
pass,0,0,0,0,0,0,5,0,0,0,0,0,38,0
keep,0,0,0,0,0,0,0,0,0,0,0,0,27,0
patagonian,2,0,0,0,0,0,0,0,0,0,0,0,0,0
shore,0,0,0,0,0,0,34,0,0,0,0,0,0,0
encounter,0,0,0,0,0,0,0,0,0,0,0,0,2,0
terrible,6,0,0,0,0,0,0,0,0,0,0,0,0,0
storm,0,0,0,0,0,0,16,0,0,0,0,0,0,0
handle,0,0,0,0,0,0,1,0,0,0,0,0,2,0
traveler,0,0,0,0,0,0,40,0,0,0,0,0,0,0
roughly,0,0,2,0,0,0,0,0,0,0,0,0,0,0
bear,0,0,0,0,0,0,0,0,0,0,0,0,10,0
bravely,0,0,6,0,0,0,0,0,0,0,0,0,0,0
day,0,0,0,0,0,0,104,0,0,0,0,0,0,0
right,21,0,20,0,0,0,4,0,0,0,0,0,0,0
sea,0,0,0,0,0,0,36,0,0,0,0,0,0,0
signal,0,0,0,0,0,0,5,0,0,0,0,0,0,0
gun,0,0,0,0,0,0,3,0,0,0,0,0,0,0
hear,0,0,0,0,0,0,0,0,0,0,0,0,45,0
anxiously,0,0,4,0,0,0,0,0,0,0,0,0,0,0
party,0,0,0,0,0,0,43,0,0,0,0,0,0,0
justice,0,0,0,0,0,0,4,0,0,0,0,0,0,0
mention,0,0,0,0,0,0,1,0,0,0,0,0,11,0
intrepid,2,0,0,0,0,0,0,0,0,0,0,0,0,0
bearing,0,0,0,0,0,0,1,0,0,0,0,0,0,0
hurricane,0,0,0,0,0,0,8,0,0,0,0,0,0,0
possibly,0,0,6,0,0,0,0,0,0,0,0,0,0,0
expose,0,0,0,0,0,0,0,0,0,0,0,0,3,0
fury,0,0,0,0,0,0,6,0,0,0,0,0,0,0
tempest,0,0,0,0,0,0,9,0,0,0,0,0,0,0
finish,0,0,0,0,0,0,0,0,0,0,0,0,5,0
narrative,0,0,0,0,0,0,4,0,0,0,0,0,0,0
turn,0,0,0,0,0,0,6,0,0,0,0,0,27,0
homage,0,0,0,0,0,0,1,0,0,0,0,0,0,0
noble,2,0,0,0,0,0,0,0,0,0,0,0,0,0
quality,0,0,0,0,0,0,7,0,0,0,0,0,0,0
glad,2,0,0,0,0,0,0,0,0,0,0,0,0,0
unhappy,2,0,0,0,0,0,0,0,0,0,0,0,0,0
ship,0,0,0,0,0,0,42,0,0,0,0,0,0,0
naively,0,0,1,0,0,0,0,0,0,0,0,0,0,0
likely,2,0,2,0,0,0,0,0,0,0,0,0,0,0
fond,1,0,0,0,0,0,0,0,0,0,0,0,0,0
return,0,0,0,0,0,0,4,0,0,0,0,0,44,0
abashed,1,0,0,0,0,0,0,0,0,0,0,0,0,0
innocent,1,0,0,0,0,0,0,0,0,0,0,0,0,0
avowal,0,0,0,0,0,0,1,0,0,0,0,0,0,0
kindle,0,0,0,0,0,0,0,0,0,0,0,0,3,0
faint,4,0,0,0,0,0,0,0,0,0,0,0,1,0
manage,0,0,0,0,0,0,0,0,0,0,0,0,11,0
conversation,0,0,0,0,0,0,14,0,0,0,0,0,0,0
safe,5,0,0,0,0,0,0,0,0,0,0,0,0,0
topic,0,0,0,0,0,0,1,0,0,0,0,0,0,0
doing,0,0,0,0,0,0,1,0,0,0,0,0,0,0
duncan,0,0,0,0,0,0,1,0,0,0,0,0,0,0
detail,0,0,0,0,0,0,10,0,0,0,0,0,0,0
journey,0,0,0,0,0,0,34,0,0,0,0,0,0,0
exploit,0,0,0,0,0,0,1,0,0,0,0,0,0,0
hero,0,0,0,0,0,0,1,0,0,0,0,0,0,0
agreeable,2,0,0,0,0,0,0,0,0,0,0,0,0,0
accordingly,0,0,3,0,0,0,0,0,0,0,0,0,0,0
hasten,0,0,0,0,0,0,0,0,0,0,0,0,4,0
satisfy,0,0,0,0,0,0,0,0,0,0,0,0,5,0
curiosity,0,0,0,0,0,0,4,0,0,0,0,0,0,0
entire,7,0,0,0,0,0,0,0,0,0,0,0,0,0
march,0,0,0,0,0,0,10,0,0,0,0,0,1,0
ocean,0,0,0,0,0,0,10,0,0,0,0,0,0,0
earthquake,0,0,0,0,0,0,1,0,0,0,0,0,0,0
disappearance,0,0,0,0,0,0,5,0,0,0,0,0,0,0
capture,0,0,0,0,0,0,2,0,0,0,0,0,1,0
condor,0,0,0,0,0,0,1,0,0,0,0,0,0,0
providential,2,0,0,0,0,0,0,0,0,0,0,0,0,0
shot,0,0,0,0,0,0,3,0,0,0,0,0,0,0
episode,0,0,0,0,0,0,1,0,0,0,0,0,0,0
red,4,0,0,0,0,0,1,0,0,0,0,0,0,0
wolf,0,0,0,0,0,0,1,0,0,0,0,0,0,0
lad,0,0,0,0,0,0,4,0,0,0,0,0,0,0
inundation,0,0,0,0,0,0,1,0,0,0,0,0,0,0
caiman,0,0,0,0,0,0,1,0,0,0,0,0,0,0
waterspout,0,0,0,0,0,0,2,0,0,0,0,0,0,0
night,0,0,0,0,0,0,54,0,0,0,0,0,0,0
excite,0,0,0,0,0,0,0,0,0,0,0,0,5,0
laughter,0,0,0,0,0,0,4,0,0,0,0,0,0,0
horror,0,0,0,0,0,0,2,0,0,0,0,0,0,0
listener,0,0,0,0,0,0,3,0,0,0,0,0,0,0
caress,0,0,0,0,0,0,2,0,0,0,0,0,0,0
enthusiastic,2,0,0,0,0,0,0,0,0,0,0,0,0,0
present,5,0,0,0,0,0,2,0,0,0,0,0,17,0
past,0,6,2,0,0,0,2,0,0,0,0,0,0,0
future,3,0,0,0,0,0,2,0,0,0,0,0,0,0
private,3,0,0,0,0,0,0,0,0,0,0,0,0,0
seat,0,0,0,0,0,0,3,0,0,0,0,0,7,0
cover,0,0,0,0,0,0,0,0,0,0,0,0,25,0
chart,0,0,0,0,0,0,6,0,0,0,0,0,0,0
plan,0,0,0,0,0,0,12,0,0,0,0,0,1,0
matter,1,0,0,0,0,0,11,0,0,0,0,0,2,0
fully,0,0,4,0,0,0,0,0,0,0,0,0,0,0
ago,0,0,7,0,0,0,0,0,0,0,0,0,0,0
bring,0,0,0,0,0,0,0,0,0,0,0,0,32,0
result,0,0,0,0,0,0,5,0,0,0,0,0,2,0
reach,0,0,0,0,0,0,2,0,0,0,0,0,42,0
conviction,0,0,0,0,0,0,2,0,0,0,0,0,0,0
absolute,3,0,0,0,0,0,0,0,0,0,0,0,0,0
shipwreck,0,0,0,0,0,0,19,0,0,0,0,0,1,0
occur,0,0,0,0,0,0,0,0,0,0,0,0,14,0
natural,7,0,0,0,0,0,0,0,0,0,0,0,0,0
inference,0,0,0,0,0,0,2,0,0,0,0,0,0,0
regard,0,0,0,0,0,0,0,0,0,0,0,0,1,0
erroneous,2,0,0,0,0,0,0,0,0,0,0,0,0,0
fortunately,0,0,4,0,0,0,0,0,0,0,0,0,0,0
happy,6,0,0,0,0,0,0,0,0,0,0,0,0,0
inspiration,0,0,0,0,0,0,2,0,0,0,0,0,0,0
discover,0,0,0,0,0,0,0,0,0,0,0,0,17,0
clearly,0,0,4,0,0,0,0,0,0,0,0,0,0,0
wrong,7,0,0,0,0,0,0,0,0,0,0,0,0,0
track,0,0,0,0,0,0,13,0,0,0,0,0,3,0
explain,0,0,0,0,0,0,0,0,0,0,0,0,8,0
doubt,0,0,8,0,0,0,12,0,0,0,0,0,7,0
remove,0,0,0,0,0,0,0,0,0,0,0,0,5,0
benefit,0,0,0,0,0,0,3,0,0,0,0,0,0,0
learned,6,0,0,0,0,0,0,0,0,0,0,0,0,0
call,0,0,0,0,0,0,0,0,0,0,0,0,23,0
execute,0,0,0,0,0,0,0,0,0,0,0,0,5,0
task,0,0,0,0,0,0,12,0,0,0,0,0,0,0
convincing,1,0,0,0,0,0,0,0,0,0,0,0,0,0
descant,0,0,0,0,0,0,0,0,0,0,0,0,2,0
syllable,0,0,0,0,0,0,2,0,0,0,0,0,0,0
gonie,0,0,0,0,0,0,0,0,0,0,0,0,0,1
extract,0,0,0,0,0,0,0,0,0,0,0,0,2,0
point,0,0,0,0,0,0,25,0,0,0,0,0,10,0
leave,0,0,0,0,0,0,18,0,0,0,0,0,57,0
carry,0,0,0,0,0,0,0,0,0,0,0,0,22,0
disabled,2,0,0,0,0,0,0,0,0,0,0,0,0,0
current,1,0,0,0,0,0,16,0,0,0,0,0,0,0
hypothesis,0,0,0,0,0,0,5,0,0,0,0,0,0,0
ingenious,3,0,0,0,0,0,0,0,0,0,0,0,0,0
deduction,0,0,0,0,0,0,1,0,0,0,0,0,0,0
subtle,1,0,0,0,0,0,0,0,0,0,0,0,0,0
difficult,9,0,0,0,0,0,0,0,0,0,0,0,0,0
judge,0,0,0,0,0,0,1,0,0,0,0,0,2,0
unlikely,1,0,0,0,0,0,0,0,0,0,0,0,0,0
lead,0,0,0,0,0,0,0,0,0,0,0,0,7,0
flight,0,0,0,0,0,0,2,0,0,0,0,0,0,0
imagination,0,0,0,0,0,0,6,0,0,0,0,0,0,0
satisfied,1,0,0,0,0,0,0,0,0,0,0,0,0,0
