word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PART,PRON,PUNCT,SCONJ,VERB,X
clump,0,0,0,0,0,0,2,0,0,0,0,0,0,0
bush,0,0,0,0,0,0,8,0,0,0,0,0,0,0
swear,0,0,0,0,0,0,0,0,0,0,0,0,6,0
secret,1,0,0,0,0,0,10,0,0,0,0,0,0,0
show,0,0,0,0,0,0,0,0,0,0,0,0,24,0
hole,0,0,0,0,0,0,11,0,0,0,0,0,0,0
thick,20,0,2,0,0,0,0,0,0,0,0,0,0,0
yard,0,0,0,0,0,0,19,0,0,0,0,0,0,0
poke,0,0,0,0,0,0,0,0,0,0,0,0,9,0
passage,0,0,0,0,0,0,5,0,0,0,0,0,0,0
duck,0,0,0,0,0,0,2,0,0,0,0,0,1,0
wall,0,0,0,0,0,0,12,0,0,0,0,0,1,0
narrow,3,0,0,0,0,0,0,0,0,0,0,0,0,0
damp,1,0,0,0,0,0,0,0,0,0,0,0,0,0
sweaty,1,0,0,0,0,0,0,0,0,0,0,0,0,0
stop,0,0,0,0,0,0,0,0,0,0,0,0,30,0
oath,0,0,0,0,0,0,3,0,0,0,0,0,0,0
write,0,0,0,0,0,0,0,0,0,0,0,0,12,0
blood,0,0,0,0,0,0,3,0,0,0,0,0,1,0
willing,2,0,0,0,0,0,0,0,0,0,0,0,0,0
sheet,0,0,0,0,0,0,3,0,0,0,0,0,0,0
paper,0,0,0,0,0,0,14,0,0,0,0,0,0,0
whichever,0,0,0,0,2,0,0,0,0,0,0,0,0,0
order,0,0,0,0,0,0,0,0,0,0,0,0,1,0
person,0,0,0,0,0,0,7,0,0,0,0,0,0,0
family,0,0,0,0,0,0,19,0,0,0,0,0,0,0
hack,0,0,0,0,0,0,0,0,0,0,0,0,4,0
belong,0,0,0,0,0,0,0,0,0,0,0,0,10,0
mark,0,0,0,0,0,0,6,0,0,0,0,0,4,0
sue,0,0,0,0,0,0,0,0,0,0,0,0,1,0
