word,ADJ,ADP,ADV,CCONJ,DET,NOUN,NUM,SCONJ,VERB,X
keen,1,0,0,0,0,0,0,0,0,0
observer,0,0,0,0,0,3,0,0,0,0
ship,0,0,0,0,0,7,0,0,0,0
log,0,0,0,0,0,1,0,0,0,0
contain,0,0,0,0,0,0,0,0,7,0
european,4,0,0,0,0,0,0,0,0,0
description,0,0,0,0,0,3,0,0,0,0
typhoon,0,0,0,0,0,4,0,0,0,0
orphan,0,0,0,0,0,0,0,0,1,0
age,0,0,0,0,0,9,0,0,0,0
travel,0,0,0,0,0,2,0,0,8,0
engage,0,0,0,0,0,0,0,0,1,0
piracy,0,0,0,0,0,1,0,0,0,0
chiefly,0,0,4,0,0,0,0,0,0,0
west,2,0,0,0,0,0,0,0,0,0
reach,0,0,0,0,0,0,0,0,5,0
probably,0,0,1,0,0,0,0,0,0,0
north,1,0,1,0,0,1,0,0,0,0
round,0,1,0,0,0,0,0,0,1,0
account,0,0,0,0,0,5,0,0,0,0
popularize,0,0,0,0,0,0,0,0,2,0
idea,0,0,0,0,0,7,0,0,0,0
southern,1,0,0,0,0,0,0,0,0,0
continent,0,0,0,0,0,1,0,0,0,0
describe,0,0,0,0,0,0,0,0,7,0
sort,0,0,1,0,0,0,0,0,0,0
violent,2,0,0,0,0,0,0,0,0,0
whirlwind,0,0,0,0,0,2,0,0,0,0
following,2,0,0,0,0,0,0,0,0,0
encounter,0,0,0,0,0,0,0,0,1,0
explorer,0,0,0,0,0,2,0,0,0,0
author,0,0,0,0,0,1,0,0,0,0
witness,0,0,0,0,0,0,0,0,1,0
sea,0,0,0,0,0,6,0,0,0,0
appear,0,0,0,0,0,0,0,0,2,0
heavy,1,0,0,0,0,0,0,0,0,0
northeast,0,0,0,0,0,1,0,0,0,0
black,2,0,0,0,0,0,0,0,0,0
horizon,0,0,0,0,0,1,0,0,0,0
upper,7,0,0,0,0,0,0,0,0,0
dull,1,0,0,0,0,0,0,0,0,0
reddish,1,0,0,0,0,0,0,0,0,0
color,0,0,0,0,0,3,0,0,0,0
tempest,0,0,0,0,0,1,0,0,0,0
violence,0,0,0,0,0,1,0,0,0,0
wind,0,0,0,0,0,10,0,0,0,0
cease,0,0,0,0,0,0,0,0,2,0
calm,0,0,0,0,0,1,0,0,0,0
last,0,0,0,0,0,0,0,0,2,0
hour,0,0,0,0,0,5,0,0,0,0
gale,0,0,0,0,0,1,0,0,0,0
blow,0,0,0,0,0,0,0,0,1,0
fury,0,0,0,0,0,1,0,0,0,0
southwest,0,0,0,0,0,1,0,0,0,0
appoint,0,0,0,0,0,0,0,0,6,0
captain,0,0,0,0,0,1,0,0,0,0
sail,0,0,0,0,0,0,0,0,2,0
inlet,0,0,0,0,0,2,0,0,0,0
northward,0,0,1,0,0,0,0,0,0,0
sight,0,0,0,0,0,0,0,0,1,0
deteriorate,0,0,0,0,0,0,0,0,1,0
discontented,1,0,0,0,0,0,0,0,0,0
crew,0,0,0,0,0,2,0,0,0,0
unable,1,0,0,0,0,0,0,0,0,0
eastern,2,0,0,0,0,0,0,0,0,0
intend,0,0,0,0,0,0,0,0,1,0
repair,0,0,0,0,0,1,0,0,0,0
provision,0,0,0,0,0,1,0,0,0,0
sink,0,0,0,0,0,0,0,0,1,0
pick,0,0,0,0,0,0,0,0,1,0
convoy,0,0,0,0,0,1,0,0,0,0
british,8,0,0,0,0,0,0,0,0,0
martiale,0,0,0,0,0,0,0,0,1,0
harsh,1,0,0,0,0,0,0,0,0,0
treatment,0,0,0,0,0,1,0,0,0,0
lieutenant,0,0,0,0,0,1,0,0,0,0
unfit,1,0,0,0,0,0,0,0,0,0
command,0,0,0,0,0,0,0,0,1,0
naval,2,0,0,0,0,0,0,0,0,0
voyage,0,0,0,0,0,1,0,0,0,0
privateer,0,0,0,0,0,1,0,0,0,0
sailor,0,0,0,0,0,1,0,0,0,0
armed,1,0,0,0,0,0,0,0,0,0
attack,0,0,0,0,0,0,0,0,1,0
enemy,0,0,0,0,0,1,0,0,0,0
profit,0,0,0,0,0,1,0,0,0,0
popular,2,0,0,0,0,0,0,0,0,0
adventure,0,0,0,0,0,1,0,0,0,0
german,7,0,0,0,0,0,0,0,0,0
alcohol,0,0,0,0,0,1,0,0,0,0
introduce,0,0,0,0,0,0,0,0,7,0
eventually,0,0,5,0,0,0,0,0,0,0
settle,0,0,0,0,0,0,0,0,2,0
maker,0,0,0,0,0,2,0,0,0,0
method,0,0,0,0,0,8,0,0,0,0
clean,0,0,0,0,0,0,0,0,1,0
stick,0,0,0,0,0,0,0,0,1,0
tube,0,0,0,0,0,4,0,0,0,0
essential,3,0,0,0,0,0,0,0,0,0
fix,0,0,0,0,0,0,0,0,1,0
point,0,0,0,0,0,9,0,0,0,0
mixture,0,0,0,0,0,3,0,0,0,0
ice,0,0,0,0,0,10,0,0,0,0
water,0,0,0,0,0,12,0,0,0,0
salt,0,0,0,0,0,1,0,0,0,0
low,4,0,0,0,0,0,0,0,0,0
body,0,0,0,0,0,2,0,0,0,0
high,8,0,1,0,0,0,0,0,0,0
space,0,0,0,0,0,3,0,0,0,0
degree,0,0,0,0,0,12,0,0,0,0
adjust,0,0,0,0,0,0,0,0,1,0
slightly,0,0,1,0,0,0,0,0,0,0
fraction,0,0,0,0,0,1,0,0,0,0
freeze,0,0,0,0,0,0,0,0,2,0
boiling,0,0,0,0,0,2,0,0,0,0
bury,0,0,0,0,0,0,0,0,2,0
seat,0,0,0,0,0,1,0,0,0,0
dutch,1,0,0,0,0,0,0,0,0,0
government,0,0,0,0,0,5,0,0,0,0
type,0,0,0,0,0,2,0,0,0,0
use,0,0,0,0,0,11,0,0,2,0
centigrade,1,0,0,0,0,0,0,0,0,0
interval,0,0,0,0,0,2,0,0,0,0
define,0,0,0,0,0,0,0,0,2,0
professor,0,0,0,0,0,14,0,0,0,0
tenure,0,0,0,0,0,1,0,0,0,0
aurora,0,0,0,0,0,1,0,0,0,0
boreali,0,0,0,0,0,1,0,0,0,0
northern,3,0,0,0,0,0,0,0,0,0
light,0,0,0,0,0,4,0,0,0,0
advocate,0,0,0,0,0,0,0,0,2,0
meridian,0,0,0,0,0,1,0,0,0,0
expedition,0,0,0,0,0,8,0,0,0,0
organize,0,0,0,0,0,0,0,0,6,0
purpose,0,0,0,0,0,1,0,0,0,0
verify,0,0,0,0,0,0,0,0,1,0
somewhat,0,0,1,0,0,0,0,0,0,0
flatten,0,0,0,0,0,0,0,0,1,0
pole,0,0,0,0,0,1,0,0,0,0
paper,0,0,0,0,0,5,0,0,0,0
read,0,0,0,0,0,0,0,0,1,0
formula,0,0,0,0,0,1,0,0,0,0
convert,0,0,0,0,0,0,0,0,4,0
representation,0,0,0,0,0,1,0,0,0,0
fahrenheit,0,0,0,0,0,1,0,0,0,0
celsius,0,0,0,0,0,1,0,0,0,0
value,0,0,0,0,0,4,0,0,0,0
today,0,0,0,0,0,4,0,0,0,0
metric,1,0,0,0,0,0,0,0,0,0
system,0,0,0,0,0,9,0,0,0,0
unit,0,0,0,0,0,2,0,0,0,0
adopt,0,0,0,0,0,0,0,0,1,0
portrait,0,0,0,0,0,3,0,0,0,0
originator,0,0,0,0,0,1,0,0,0,0
eponymous,1,0,0,0,0,0,0,0,0,0
include,0,0,0,0,0,0,0,0,7,0
distantiam,0,0,0,0,0,0,0,0,0,1
solis,0,0,0,0,0,0,0,0,0,1
dissertation,0,0,0,0,0,2,0,0,0,0
determine,0,0,0,0,0,0,0,0,3,0
distance,0,0,0,0,0,4,0,0,0,0
sun,0,0,0,0,0,1,0,0,0,0
earth,0,0,0,0,0,2,0,0,0,0
pro,0,0,0,0,0,0,0,0,0,1
disquisition,0,0,0,0,0,1,0,0,0,0
shape,0,0,0,0,0,3,0,0,0,0
proud,1,0,0,0,0,0,0,0,0,0
printer,0,0,0,0,0,2,0,0,0,0
talent,0,0,0,0,0,2,0,0,0,0
diplomat,0,0,0,0,0,1,0,0,0,0
inventor,0,0,0,0,0,2,0,0,0,0
educator,0,0,0,0,0,1,0,0,0,0
public,5,0,0,0,0,3,0,0,0,0
servant,0,0,0,0,0,1,0,0,0,0
apprentice,0,0,0,0,0,0,0,0,1,0
brother,0,0,0,0,0,4,0,0,0,0
local,2,0,0,0,0,0,0,0,0,0
effectively,0,0,1,0,0,0,0,0,0,0
move,0,0,0,0,0,0,0,0,10,0
found,0,0,0,0,0,0,0,0,6,0
remember,0,0,0,0,0,0,0,0,1,0
proverb,0,0,0,0,0,1,0,0,0,0
aphorism,0,0,0,0,0,1,0,0,0,0
emphasize,0,0,0,0,0,0,0,0,2,0
prudence,0,0,0,0,0,1,0,0,0,0
industry,0,0,0,0,0,2,0,0,0,0
honesty,0,0,0,0,0,1,0,0,0,0
prosperous,1,0,0,0,0,0,0,0,0,0
promote,0,0,0,0,0,0,0,0,1,0
service,0,0,0,0,0,5,0,0,0,0
fire,0,0,0,0,0,1,0,0,0,0
department,0,0,0,0,0,6,0,0,0,0
hospital,0,0,0,0,0,1,0,0,0,0
insurance,0,0,0,0,0,1,0,0,0,0
company,0,0,0,0,0,1,0,0,0,0
academy,0,0,0,0,0,1,0,0,0,0
numerous,3,0,0,0,0,0,0,0,0,0
stove,0,0,0,0,0,1,0,0,0,0
