word,ADJ,ADP,ADV,AUX,INTJ,NOUN,NUM,SCONJ,VERB
hold,0,0,0,0,0,1,0,0,8
toy,0,0,0,0,0,2,0,0,0
book,0,0,0,0,0,8,0,0,0
creature,0,0,0,0,0,11,0,0,0
mention,0,0,0,0,0,1,0,0,0
direct,0,0,0,0,0,0,0,0,1
lock,0,0,0,0,0,2,0,0,3
favorite,3,0,0,0,0,0,0,0,0
sadly,0,0,1,0,0,0,0,0,0
shut,0,0,0,0,0,0,0,0,8
bury,0,0,0,0,0,0,0,0,2
key,0,0,0,0,0,13,0,0,0
inside,0,6,5,0,0,0,0,0,0
curiosity,0,0,0,0,0,2,0,0,0
wake,0,0,0,0,0,0,0,0,5
secret,25,0,0,0,0,14,0,0,0
path,0,0,0,0,0,5,0,0,0
wonder,0,0,0,0,0,0,0,0,5
section,0,0,0,0,0,1,0,0,0
vegetable,0,0,0,0,0,1,0,0,0
lifeless,1,0,0,0,0,0,0,0,0
winter,0,0,0,0,0,2,0,0,0
presently,0,0,1,0,0,0,0,0,0
spade,0,0,0,0,0,8,0,0,0
wall,0,0,0,0,0,17,0,0,1
surly,1,0,0,0,0,0,0,0,0
fiercely,0,0,3,0,0,0,0,0,0
kitchen,0,0,0,0,0,3,0,0,0
grunt,0,0,0,0,0,0,0,0,1
far,1,0,6,0,0,0,0,0,0
enclose,0,0,0,0,0,0,0,0,1
bird,0,0,0,0,0,13,0,0,0
perch,0,0,0,0,0,0,0,0,1
bright,9,0,0,0,0,0,0,0,0
chest,0,0,0,0,0,1,0,0,0
song,0,0,0,0,0,3,0,0,0
cheeky,1,0,0,0,0,0,0,0,0
beggar,0,0,0,0,0,1,0,0,0
gruff,1,0,0,0,0,0,0,0,0
slight,1,0,0,0,0,0,0,0,0
early,0,0,1,0,0,0,0,0,0
season,0,0,0,0,0,1,0,0,0
tame,2,0,0,0,0,0,0,0,0
robin,0,0,0,0,0,24,0,0,0
redbreast,0,0,0,0,0,1,0,0,0
chuckle,0,0,0,0,0,1,0,0,2
folk,0,0,0,0,0,2,0,0,0
pleased,2,0,0,0,0,0,0,0,0
fly,0,0,0,0,0,0,0,0,8
peck,0,0,0,0,0,0,0,0,2
ground,0,0,0,0,0,1,0,0,0
foot,0,0,0,0,0,5,0,0,0
plain,1,0,0,0,0,0,0,0,0
boot,0,0,0,0,0,1,0,0,0
gesture,0,0,0,0,0,0,0,0,1
ruffle,0,0,0,0,0,0,0,0,2
feather,0,0,0,0,0,1,0,0,0
business,0,0,0,0,0,1,0,0,0
shoulder,0,0,0,0,0,6,0,0,0
bye,0,0,0,0,0,1,0,0,0
day,0,0,0,0,0,30,0,0,0
exactly,0,0,2,0,0,0,0,0,0
chat,0,0,0,0,0,1,0,0,1
entirely,0,0,1,0,0,0,0,0,0
porridge,0,0,0,0,0,1,0,0,0
air,0,0,0,0,0,9,0,0,0
approval,0,0,0,0,0,1,0,0,0
appear,0,0,0,0,0,0,0,0,2
search,0,0,0,0,0,1,0,0,1
mysterious,2,0,0,0,0,0,0,0,0
meal,0,0,0,0,0,4,0,0,0
story,0,0,0,0,0,9,0,0,0
lively,1,0,0,0,0,0,0,0,0
fun,0,0,0,0,0,2,0,0,0
cottage,0,0,0,0,0,4,0,0,0
have,0,0,0,0,0,0,0,0,4
audience,0,0,0,0,0,1,0,0,0
linger,0,0,0,0,0,0,0,0,1
wuthere,0,0,0,0,0,0,0,0,1
night,0,0,0,0,0,13,0,0,0
hollow,1,0,0,0,0,0,0,0,0
shudder,0,0,0,0,0,0,0,0,1
sort,0,0,0,0,0,4,0,0,0
roar,0,0,0,0,0,2,0,0,2
mix,0,0,0,0,0,0,0,0,1
loud,2,0,0,0,0,0,0,0,0
scullery,1,0,0,0,0,0,0,0,0
maid,0,0,0,0,0,3,0,0,0
toothache,0,0,0,0,0,2,0,0,0
reason,0,0,0,0,0,1,0,0,0
rage,0,0,0,0,0,0,0,0,1
afraid,6,0,0,0,0,0,0,0,0
grumpy,1,0,0,0,0,0,0,0,0
twist,0,0,0,0,0,1,0,0,2
indoors,0,0,1,0,0,0,0,0,0
fine,1,0,0,0,0,0,0,0,0
furniture,0,0,0,0,0,1,0,0,0
fill,0,0,0,0,0,0,0,0,3
painting,0,0,0,0,0,2,0,0,0
shelf,0,0,0,0,0,1,0,0,0
ivory,1,0,0,0,0,2,0,0,0
elephant,0,0,0,0,0,3,0,0,0
cushion,0,0,0,0,0,2,0,0,0
hole,0,0,0,0,0,4,0,0,0
peer,0,0,0,0,0,0,0,0,4
mouse,0,0,0,0,0,2,0,0,0
nest,0,0,0,0,0,5,0,0,0
tend,0,0,0,0,0,0,0,0,1
baby,0,0,0,0,0,1,0,0,0
draw,0,0,0,0,0,0,0,0,3
pause,0,0,0,0,0,0,0,0,1
crying,0,0,0,0,0,3,0,0,0
upright,0,0,2,0,0,0,0,0,0
rainstorm,0,0,0,0,0,1,0,0,0
end,0,0,0,0,0,1,0,0,1
gray,2,0,0,0,0,0,0,0,0
mist,0,0,0,0,0,1,0,0,0
cloud,0,0,0,0,0,1,0,0,0
sweep,0,0,0,0,0,0,0,0,1
deep,2,0,0,0,0,0,0,0,0
blue,6,0,0,0,0,1,0,0,0
sky,0,0,0,0,0,6,0,0,0
arch,0,0,0,0,0,3,0,0,1
dream,0,0,0,0,0,7,0,0,3
blaze,0,0,0,0,0,0,0,0,1
bottomless,1,0,0,0,0,0,0,0,0
lake,0,0,0,0,0,1,0,0,0
springtime,0,0,0,0,0,2,0,0,0
beautiful,7,0,0,0,0,0,0,0,0
wistfully,0,0,1,0,0,0,0,0,0
stoutly,0,0,1,0,0,0,0,0,0
stiff,1,0,0,0,0,0,0,0,0
thoughtfully,0,0,1,0,0,0,0,0,0
spirit,0,0,0,0,0,2,0,0,0
afternoon,0,0,0,0,0,5,0,0,0
washing,0,0,0,0,0,1,0,0,0
baking,0,0,0,0,0,1,0,0,0
enjoy,0,0,0,0,0,0,0,0,5
thoroughly,0,0,1,0,0,0,0,0,0
fountain,0,0,0,0,0,1,0,0,0
count,0,0,0,0,0,0,0,0,5
carefully,0,0,2,0,0,0,0,0,0
well,2,0,3,0,0,0,0,0,0
gardener,0,0,0,0,0,5,0,0,0
smell,0,0,0,0,0,1,0,0,3
sniff,0,0,0,0,0,0,0,0,2
green,9,0,0,0,0,0,0,0,0
spike,0,0,0,0,0,2,0,0,0
earth,0,0,0,0,0,8,0,0,0
crocus,0,0,0,0,0,3,0,0,0
snowdrop,0,0,0,0,0,2,0,0,0
daffydowndilly,0,0,0,0,0,1,0,0,0
wet,1,0,0,0,0,0,0,0,0
fast,0,0,2,0,0,0,0,0,0
higher,0,0,1,0,0,0,0,0,0
push,0,0,0,0,0,1,0,0,10
uncurl,0,0,0,0,0,0,0,0,1
leaf,0,0,0,0,0,1,0,0,0
chirp,0,0,0,0,0,1,0,0,1
twitter,0,0,0,0,0,1,0,0,1
bare,2,0,0,0,0,0,0,0,0
left,2,0,0,0,0,0,0,0,0
hop,0,0,0,0,0,0,0,0,4
