word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,VERB
give,0,0,0,0,0,0,0,0,0,1
road,0,0,0,0,0,0,1,0,0,0
corner,0,0,0,0,0,0,1,0,0,0
line,0,0,0,0,0,0,2,0,0,0
care,0,0,0,0,0,0,1,0,0,0
dear,1,0,0,0,0,0,0,0,0,0
date,0,0,0,0,0,0,1,0,0,0
wooden,1,0,0,0,0,0,0,0,0,0
burn,0,0,0,0,0,0,0,0,0,2
hurt,0,0,0,0,0,0,0,0,0,1
catch,0,0,0,0,0,0,0,0,0,2
bottle,0,0,0,0,0,0,1,0,0,0
ground,0,0,0,0,0,0,1,0,0,0
garden,0,0,0,0,0,0,1,0,0,0
sure,1,0,0,0,0,0,0,0,0,0
fever,0,0,0,0,0,0,1,0,0,0
body,0,0,0,0,0,0,1,0,0,0
windy,1,0,0,0,0,0,0,0,0,0
ago,0,0,1,0,0,0,0,0,0,0
singe,0,0,0,0,0,0,0,0,0,1
marble,0,0,0,0,0,0,1,0,0,0
gilded,1,0,0,0,0,0,0,0,0,0
monument,0,0,0,0,0,0,1,0,0,0
prince,0,0,0,0,0,0,1,0,0,0
shall,0,0,0,1,0,0,0,0,0,0
outlive,0,0,0,0,0,0,0,0,0,1
powerful,1,0,0,0,0,0,0,0,0,0
rhyme,0,0,0,0,0,0,1,0,0,0
