word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,PRON,SCONJ,VERB,X
magic,11,0,0,0,0,0,15,0,0,0,0
moment,0,0,0,0,0,0,7,0,0,0,0
use,0,0,0,0,0,0,4,0,0,8,0
purpose,0,0,0,0,0,0,3,0,0,0,0
comfortable,1,0,0,0,0,0,0,0,0,0,0
task,0,0,0,0,0,0,5,0,0,0,0
foolishly,0,0,1,0,0,0,0,0,0,0,0
give,0,0,0,0,0,0,0,0,0,24,0
exchange,0,0,0,0,0,0,1,0,0,0,0
cheat,0,0,0,0,0,0,0,0,0,1,0
wickedly,0,0,2,0,0,0,0,0,0,0,0
work,0,0,0,0,0,0,4,0,0,20,0
perfection,0,0,0,0,0,0,1,0,0,0,0
lot,0,0,0,0,0,0,13,0,0,0,0
test,0,0,0,0,0,0,1,0,0,1,0
begin,0,0,0,0,0,0,0,0,0,30,0
astonished,3,0,0,0,0,0,0,0,0,0,0
companion,0,0,0,0,0,0,7,0,0,0,0
admire,0,0,0,0,0,0,0,0,0,2,0
consider,0,0,0,0,0,0,0,0,0,12,0
modest,1,0,0,0,0,0,0,0,0,0,0
positively,0,0,2,0,0,0,0,0,0,0,0
refuse,0,0,0,0,0,0,0,0,0,6,0
catch,0,0,0,0,0,0,0,0,0,9,0
mouse,0,0,0,0,0,0,4,0,0,0,0
explain,0,0,0,0,0,0,0,0,0,12,0
cat,0,0,0,0,0,0,54,0,0,0,0
pink,24,0,0,0,0,0,1,0,0,0,0
brain,0,0,0,0,0,0,46,0,0,0,0
prove,0,0,0,0,0,0,0,0,0,11,0
breed,0,0,0,0,0,0,0,0,0,1,0
particular,2,0,0,0,0,0,0,0,0,0,0
undignified,2,0,0,0,0,0,0,0,0,0,0
blood,0,0,0,0,0,0,4,0,0,0,0
red,8,0,0,0,0,0,1,0,0,0,0
heart,0,0,0,0,0,0,20,0,0,0,0
stone,0,0,0,0,0,0,4,0,0,0,0
ruby,0,0,0,0,0,0,4,0,0,0,0
hard,12,0,6,0,0,0,0,0,0,0,0
unfeeling,1,0,0,0,0,0,0,0,0,0,0
object,0,0,0,0,0,0,2,0,0,2,0
favorite,1,0,0,0,0,0,4,0,0,0,0
