word,ADJ,ADP,ADV,AUX,INTJ,NOUN,NUM,PRON,VERB,X
shop,0,0,0,0,0,25,0,0,0,0
shatter,0,0,0,0,0,0,0,0,1,0
walnut,0,0,0,0,0,1,0,0,0,0
shell,0,0,0,0,0,1,0,0,0,0
people,0,0,0,0,0,21,0,0,0,0
sight,0,0,0,0,0,2,0,0,0,0
drink,0,0,0,0,0,5,0,0,5,0
rough,2,0,0,0,0,0,0,0,0,0
create,0,0,0,0,0,0,0,0,1,0
pool,0,0,0,0,0,1,0,0,0,0
scoop,0,0,0,0,0,0,0,0,1,0
dip,0,0,0,0,0,0,0,0,3,0
sip,0,0,0,0,0,0,0,0,2,0
shrill,1,0,0,0,0,0,0,0,0,0
laughter,0,0,0,0,0,1,0,0,0,0
play,0,0,0,0,0,1,0,0,2,0
echo,0,0,0,0,0,4,0,0,3,0
join,0,0,0,0,0,0,0,0,3,0
fun,0,0,0,0,0,2,0,0,0,0
hard,4,0,2,0,0,0,0,0,0,0
foot,0,0,0,0,0,12,0,0,0,0
stain,0,0,0,0,0,0,0,0,2,0
corner,0,0,0,0,0,10,0,0,0,0
well,6,0,4,0,0,0,0,0,0,0
owner,0,0,0,0,0,3,0,0,0,0
outside,1,4,3,0,0,0,0,0,0,0
struggle,0,0,0,0,0,2,0,0,0,0
lost,1,0,0,0,0,0,0,0,0,0
catch,0,0,0,0,0,0,0,0,4,0
tall,8,0,0,0,0,0,0,0,0,0
write,0,0,0,0,0,0,0,0,14,0
fellow,1,0,0,0,0,6,0,0,0,0
point,0,0,0,0,0,1,0,0,4,0
finger,0,0,0,0,0,4,0,0,0,0
muddy,1,0,0,0,0,0,0,0,0,0
ready,8,0,0,0,0,0,0,0,0,0
mad,1,0,0,0,0,0,0,0,0,0
hospital,0,0,0,0,0,1,0,0,0,0
shopkeeper,0,0,0,0,0,3,0,0,0,0
cross,0,0,0,0,0,0,0,0,4,0
smear,0,0,0,0,0,0,0,0,1,0
handful,0,0,0,0,0,1,0,0,0,0
wipe,0,0,0,0,0,0,0,0,2,0
soiled,2,0,0,0,0,0,0,0,0,0
shirt,0,0,0,0,0,3,0,0,0,0
bull,0,0,0,0,0,1,0,0,0,0
necked,1,0,0,0,0,0,0,0,0,0
thirty,0,0,0,0,0,0,1,0,0,0
sleeve,0,0,0,0,0,1,0,0,0,0
roll,0,0,0,0,0,2,0,0,1,0
curl,0,0,0,0,0,1,0,0,2,0
short,3,0,0,0,0,0,0,0,0,0
counter,0,0,0,0,0,5,0,0,0,0
stout,2,0,0,0,0,0,0,0,0,0
watchful,1,0,0,0,0,0,0,0,0,0
bright,3,0,0,0,0,0,0,0,0,0
shawl,0,0,0,0,0,1,0,0,0,0
twine,0,0,0,0,0,0,0,0,1,0
cover,0,0,0,0,0,0,0,0,4,0
earring,0,0,0,0,0,1,0,0,0,0
knitting,0,0,0,0,0,4,0,0,0,0
husband,0,0,0,0,0,17,0,0,0,0
cough,0,0,0,0,0,1,0,0,2,0
tiny,2,0,0,0,0,0,0,0,0,0
lift,0,0,0,0,0,0,0,0,4,0
brow,0,0,0,0,0,1,0,0,0,0
shift,0,0,0,0,0,0,0,0,1,0
store,0,0,0,0,0,1,0,0,0,0
absorbed,1,0,0,0,0,0,0,0,0,0
advance,0,0,0,0,0,0,0,0,1,0
willingly,0,0,4,0,0,0,0,0,0,0
quietly,0,0,4,0,0,0,0,0,0,0
step,0,0,0,0,0,4,0,0,4,0
talk,0,0,0,0,0,5,0,0,6,0
attentive,2,0,0,0,0,0,0,0,0,0
nod,0,0,0,0,0,0,0,0,2,0
motion,0,0,0,0,0,0,0,0,1,0
meet,0,0,0,0,0,0,0,0,7,0
gloomy,4,0,0,0,0,0,0,0,0,0
entry,0,0,0,0,0,2,0,0,0,0
staircase,0,0,0,0,0,3,0,0,0,0
high,5,0,2,0,0,0,0,0,0,0
stair,0,0,0,0,0,6,0,0,0,0
whisper,0,0,0,0,0,1,0,0,3,0
keeper,0,0,0,0,0,2,0,0,0,0
strike,0,0,0,0,0,0,0,0,10,0
grow,0,0,0,0,0,0,0,0,5,0
reach,0,0,0,0,0,0,0,0,2,0
building,0,0,0,0,0,5,0,0,0,0
key,0,0,0,0,0,6,0,0,0,0
lock,0,0,0,0,0,2,0,0,3,0
friend,0,0,0,0,0,15,0,0,0,0
surprised,5,0,0,0,0,0,0,0,0,0
grim,1,0,0,0,0,0,0,0,0,0
think,0,0,0,0,0,0,0,0,15,0
necessary,4,0,0,0,0,0,0,0,0,0
live,0,0,0,0,0,0,0,0,10,0
frightened,3,0,0,0,0,0,0,0,0,0
tear,0,0,0,0,0,3,0,0,2,0
