word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,VERB
attempt,0,0,0,0,0,0,1,0,0,2
crossing,0,0,0,0,0,0,1,0,0,0
north,0,0,0,0,0,0,1,0,0,0
reachable,1,0,0,0,0,0,0,0,0,0
westward,0,0,1,0,0,0,0,0,0,0
watchman,0,0,0,0,0,0,1,0,0,0
shout,0,0,0,0,0,0,1,0,0,6
roar,0,0,0,0,0,0,2,0,0,4
sandbar,0,0,0,0,0,0,2,0,0,0
side,0,0,0,0,0,0,1,0,0,0
cleanse,0,0,0,0,0,0,0,0,0,1
smash,0,0,0,0,0,0,0,0,0,1
launch,0,0,0,0,0,0,0,0,0,4
broken,5,0,0,0,0,0,0,0,0,0
survive,0,0,0,0,0,0,0,0,0,4
mate,0,0,0,0,0,0,7,0,0,0
lay,0,0,0,0,0,0,0,0,0,7
sling,0,0,0,0,0,0,0,0,0,1
pile,0,0,0,0,0,0,2,0,0,2
oar,0,0,0,0,0,0,4,0,0,0
violently,0,0,1,0,0,0,0,0,0,0
struggle,0,0,0,0,0,0,0,0,0,2
massive,1,0,0,0,0,0,0,0,0,0
rage,0,0,0,0,0,0,0,0,0,1
lung,0,0,0,0,0,0,1,0,0,0
burn,0,0,0,0,0,0,0,0,0,2
tumble,0,0,0,0,0,0,0,0,0,2
scoop,0,0,0,0,0,0,0,0,0,2
scramble,0,0,0,0,0,0,0,0,0,4
drop,0,0,0,0,0,0,0,0,0,1
stagger,0,0,0,0,0,0,0,0,0,1
forward,0,0,3,0,0,0,0,0,0,0
helplessly,0,0,1,0,0,0,0,0,0,0
deliver,0,0,0,0,0,0,0,0,0,1
alive,2,0,0,0,0,0,0,0,0,0
batter,0,0,0,0,0,0,0,0,0,1
senseless,1,0,0,0,0,0,0,0,0,0
recover,0,0,0,0,0,0,0,0,0,3
force,0,0,0,0,0,0,2,0,0,1
cling,0,0,0,0,0,0,0,0,0,1
strong,5,0,0,0,0,0,0,0,0,0
retreat,0,0,0,0,0,0,1,0,0,0
clamber,0,0,0,0,0,0,0,0,0,1
cliff,0,0,0,0,0,0,1,0,0,0
sit,0,0,0,0,0,0,0,0,0,7
grass,0,0,0,0,0,0,2,0,0,0
survivor,0,0,0,0,0,0,2,0,0,0
hat,0,0,0,0,0,0,3,0,0,0
shoe,0,0,0,0,0,0,2,0,0,0
wreck,0,0,0,0,0,0,7,0,0,1
pocket,0,0,0,0,0,0,1,0,0,0
tobacco,0,0,0,0,0,0,2,0,0,0
pipe,0,0,0,0,0,0,1,0,0,0
tin,0,0,0,0,0,0,1,0,0,0
chance,0,0,0,0,0,0,2,0,0,0
slight,1,0,0,0,0,0,0,0,0,0
