word,ADJ,ADP,ADV,AUX,INTJ,NOUN,NUM,PRON,SCONJ,VERB,X
yelp,0,0,0,0,0,0,0,0,0,1,0
priest,0,0,0,0,0,25,0,0,0,0,0
strong,4,0,0,0,0,0,0,0,0,0,0
clench,0,0,0,0,0,0,0,0,0,1,0
fist,0,0,0,0,0,4,0,0,0,0,0
gnash,0,0,0,0,0,0,0,0,0,1,0
angry,2,0,0,0,0,0,0,0,0,0,0
tiger,0,0,0,0,0,1,0,0,0,0,0
sign,0,0,0,0,0,3,0,0,0,0,0
open,0,0,0,0,0,0,0,0,0,10,0
passage,0,0,0,0,0,1,0,0,0,0,0
silently,0,0,2,0,0,0,0,0,0,0,0
decide,0,0,0,0,0,0,0,0,0,2,0
narrow,2,0,0,0,0,0,0,0,0,0,0
linger,0,0,0,0,0,0,0,0,0,1,0
hear,0,0,0,0,0,0,0,0,0,15,0
scream,0,0,0,0,0,1,0,0,0,5,0
kick,0,0,0,0,0,0,0,0,0,4,0
struggle,0,0,0,0,0,0,0,0,0,4,0
free,2,0,2,0,0,0,0,0,0,1,0
grab,0,0,0,0,0,0,0,0,0,11,0
twist,0,0,0,0,0,0,0,0,0,3,0
advance,0,0,0,0,0,0,0,0,0,1,0
captor,0,0,0,0,0,2,0,0,0,0,0
clearly,0,0,2,0,0,0,0,0,0,0,0
deal,0,0,0,0,0,0,0,0,0,2,0
backhanded,1,0,0,0,0,0,0,0,0,0,0
fly,0,0,0,0,0,0,0,0,0,1,0
crash,0,0,0,0,0,1,0,0,0,3,0
dizzy,2,0,0,0,0,0,0,0,0,0,0
weak,1,0,0,0,0,0,0,0,0,0,0
spot,0,0,0,0,0,5,0,0,0,2,0
bloom,0,0,0,0,0,0,0,0,0,1,0
second,1,0,0,0,0,1,0,0,0,0,0
drape,0,0,0,0,0,0,0,0,0,1,0
murder,0,0,0,0,0,4,0,0,0,6,0
pound,0,0,0,0,0,0,0,0,0,3,0
body,0,0,0,0,0,5,0,0,0,0,0
horseman,0,0,0,0,0,3,0,0,0,0,0
dart,0,0,0,0,0,0,0,0,0,1,0
king,0,0,0,0,0,10,0,0,0,0,0
archer,0,0,0,0,0,3,0,0,0,0,0
scoundrel,0,0,0,0,0,1,0,0,0,0,0
snatch,0,0,0,0,0,0,0,0,0,3,0
surprise,0,0,0,0,0,1,0,0,0,0,0
soon,0,0,7,0,0,0,0,0,0,0,0
army,0,0,0,0,0,2,0,0,0,0,0
surround,0,0,0,0,0,0,0,0,0,1,0
seize,0,0,0,0,0,0,0,0,0,4,0
bellow,0,0,0,0,0,0,0,0,0,2,0
bite,0,0,0,0,0,1,0,0,0,2,0
slip,0,0,0,0,0,0,0,0,0,9,0
darkness,0,0,0,0,0,3,0,0,0,0,0
pull,0,0,0,0,0,0,0,0,0,15,0
captain,0,0,0,0,0,32,0,0,0,0,0
saddle,0,0,0,0,0,1,0,0,0,0,0
charmed,1,0,0,0,0,0,0,0,0,0,0
handsome,4,0,0,0,0,0,0,0,0,0,0
sir,0,0,0,0,0,2,0,0,0,0,0
ask,0,0,0,0,0,0,0,0,0,46,0
service,0,0,0,0,0,1,0,0,0,0,0
reply,0,0,0,0,0,0,0,0,0,10,0
thank,0,0,0,0,0,0,0,0,0,4,0
horse,0,0,0,0,0,11,0,0,0,0,0
vanish,0,0,0,0,0,0,0,0,0,2,0
remember,0,0,0,0,0,0,0,0,0,5,0
lovely,8,0,0,0,0,0,0,0,0,0,0
think,0,0,0,0,0,0,0,0,0,32,0
yes,0,0,0,0,19,0,0,0,0,0,0
question,0,0,0,0,0,5,0,0,0,1,0
mind,0,0,0,0,0,5,0,0,0,1,0
freeze,0,0,0,0,0,0,0,0,0,4,0
stagger,0,0,0,0,0,0,0,0,0,2,0
nice,1,0,0,0,0,0,0,0,0,0,0
stumble,0,0,0,0,0,0,0,0,0,6,0
cripple,0,0,0,0,0,2,0,0,0,0,0
plead,0,0,0,0,0,0,0,0,0,4,0
spare,0,0,0,0,0,0,0,0,0,2,0
hang,0,0,0,0,0,0,0,0,0,24,0
walk,0,0,0,0,0,0,0,0,0,6,0
happen,0,0,0,0,0,0,0,0,0,7,0
charge,0,0,0,0,0,0,0,0,0,2,0
bandage,0,0,0,0,0,1,0,0,0,0,0
remove,0,0,0,0,0,0,0,0,0,2,0
throw,0,0,0,0,0,0,0,0,0,10,0
crutch,0,0,0,0,0,1,0,0,0,0,0
blind,1,0,0,0,0,0,0,0,0,0,0
suddenly,0,0,9,0,0,0,0,0,0,0,0
charlatan,0,0,0,0,0,1,0,0,0,0,0
crumbled,1,0,0,0,0,0,0,0,0,0,0
section,0,0,0,0,0,1,0,0,0,0,0
building,0,0,0,0,0,1,0,0,0,0,0
ramshackle,1,0,0,0,0,0,0,0,0,0,0
worn,1,0,0,0,0,0,0,0,0,0,0
decay,0,0,0,0,0,1,0,0,0,0,0
manner,0,0,0,0,0,1,0,0,0,0,0
criminal,0,0,0,0,0,1,0,0,0,0,0
instant,0,0,0,0,0,4,0,0,0,0,0
jab,0,0,0,0,0,0,0,0,0,1,0
shove,0,0,0,0,0,0,0,0,0,4,0
rickety,2,0,0,0,0,0,0,0,0,0,0
tavern,0,0,0,0,0,6,0,0,0,0,0
lead,0,0,0,0,0,0,0,0,0,7,0
tattered,1,0,0,0,0,0,0,0,0,0,0
tramp,0,0,0,0,0,2,0,0,0,0,0
bow,0,0,0,0,0,0,0,0,0,3,0
nudge,0,0,0,0,0,0,0,0,0,1,0
shudder,0,0,0,0,0,0,0,0,0,5,0
allow,0,0,0,0,0,0,0,0,0,8,0
poet,0,0,0,0,0,7,0,0,0,0,0
inform,0,0,0,0,0,0,0,0,0,1,0
write,0,0,0,0,0,0,0,0,0,1,0
kneel,0,0,0,0,0,0,0,0,0,2,0
quake,0,0,0,0,0,0,0,0,0,1,0
fear,0,0,0,0,0,5,0,0,0,1,0
outlaw,0,0,0,0,0,1,0,0,0,0,0
majesty,0,0,0,0,0,1,0,0,0,0,0
stroke,0,0,0,0,0,0,0,0,0,1,0
chin,0,0,0,0,0,3,0,0,0,0,0
hmmm,0,0,0,0,2,0,0,0,0,0,0
test,0,0,0,0,0,3,0,0,0,0,0
panic,0,0,0,0,0,0,0,0,0,2,0
skill,0,0,0,0,0,1,0,0,0,0,0
ruffian,0,0,0,0,0,1,0,0,0,0,0
snort,0,0,0,0,0,0,0,0,0,1,0
