word,ADJ,ADP,ADV,CCONJ,DET,NOUN,NUM,PUNCT,SCONJ,VERB,X
flake,0,0,0,0,0,1,0,0,0,0,0
force,0,0,0,0,0,16,0,0,0,5,0
evaporation,0,0,0,0,0,13,0,0,0,0,0
pressure,0,0,0,0,0,47,0,0,0,0,0
overlie,0,0,0,0,0,0,0,0,0,5,0
precipitation,0,0,0,0,0,40,0,0,0,0,0
forge,0,0,0,0,0,0,0,0,0,1,0
hard,10,0,1,0,0,0,0,0,0,0,0
grain,0,0,0,0,0,24,0,0,0,0,0
densely,0,0,1,0,0,0,0,0,0,0,0
round,3,0,0,0,0,0,0,0,0,0,0
likely,6,0,4,0,0,0,0,0,0,0,0
allow,0,0,0,0,0,0,0,0,0,13,0
gas,0,0,0,0,0,5,0,0,0,0,0
penetrate,0,0,0,0,0,0,0,0,0,13,0
condensation,0,0,0,0,0,10,0,0,0,0,0
lose,0,0,0,0,0,0,0,0,0,18,0
runoff,0,0,0,0,0,15,0,0,0,0,0
know,0,0,0,0,0,0,0,0,0,78,0
object,0,0,0,0,0,8,0,0,0,1,0
motion,0,0,0,0,0,12,0,0,0,0,0
imperceptible,1,0,0,0,0,0,0,0,0,0,0
suffer,0,0,0,0,0,0,0,0,0,2,0
consequence,0,0,0,0,0,5,0,0,0,0,0
stress,0,0,0,0,0,37,0,0,0,3,0
brittle,4,0,0,0,0,0,0,0,0,0,0
crack,0,0,0,0,0,16,0,0,0,7,0
crevasse,0,0,0,0,0,35,0,0,0,0,0
plastic,3,0,0,0,0,8,0,0,0,0,0
mean,39,0,0,0,0,7,0,0,0,7,0
spread,0,0,0,0,0,1,0,0,0,9,0
relieve,0,0,0,0,0,0,0,0,0,2,0
weight,0,0,0,0,0,12,0,0,0,0,0
base,0,0,0,0,0,32,0,0,0,9,0
slip,0,0,0,0,0,2,0,0,0,2,0
bedrock,0,0,0,0,0,49,0,0,0,0,0
beneath,0,25,3,0,0,0,0,0,0,0,0
supply,0,0,0,0,0,0,0,0,0,2,0
leak,0,0,0,0,0,0,0,0,0,1,0
friction,0,0,0,0,0,3,0,0,0,0,0
facilitate,0,0,0,0,0,0,0,0,0,3,0
movement,0,0,0,0,0,29,0,0,0,0,0
majority,0,0,0,0,0,4,0,0,0,0,0
pole,0,0,0,0,0,4,0,0,0,0,0
include,0,0,0,0,0,0,0,0,0,35,0
especially,0,0,26,0,0,0,0,0,0,0,0
susceptible,1,0,0,0,0,0,0,0,0,0,0
bed,0,0,0,0,0,30,0,0,0,2,0
gravity,0,0,0,0,0,7,0,0,0,0,0
