word,ADJ,ADP,ADV,CCONJ,DET,INTJ,NOUN,NUM,VERB,X
dramatic,1,0,0,0,0,0,0,0,0,0
effect,0,0,0,0,0,0,3,0,0,0
old,3,0,0,0,0,0,0,0,0,0
originally,0,0,1,0,0,0,0,0,0,0
scatter,0,0,0,0,0,0,0,0,2,0
violent,2,0,0,0,0,0,0,0,0,0
settle,0,0,0,0,0,0,0,0,1,0
accrete,0,0,0,0,0,0,0,0,2,0
slam,0,0,0,0,0,0,0,0,3,0
strip,0,0,0,0,0,0,0,0,2,0
mantle,0,0,0,0,0,0,3,0,0,0
interior,0,0,0,0,0,0,5,0,0,0
greatly,0,0,3,0,0,0,0,0,0,0
slow,0,0,0,0,0,0,0,0,3,0
rotation,0,0,0,0,0,0,9,0,0,0
knock,0,0,0,0,0,0,0,0,2,0
mark,0,0,0,0,0,0,0,0,2,0
sized,3,0,0,0,0,0,0,0,0,0
bombard,0,0,0,0,0,0,0,0,1,0
early,6,0,2,0,0,0,0,0,0,0
history,0,0,0,0,0,0,3,0,0,0
fact,0,0,0,0,0,0,1,0,0,0
fragment,0,0,0,0,0,0,10,0,1,0
differentiation,0,0,0,0,0,0,1,0,0,0
heavy,2,0,0,0,0,0,0,0,0,0
sink,0,0,0,0,0,0,0,0,1,0
generate,0,0,0,0,0,0,0,0,3,0
gradually,0,0,3,0,0,0,0,0,0,0
sinking,0,0,0,0,0,0,1,0,0,0
displace,0,0,0,0,0,0,0,0,1,0
upward,0,0,1,0,0,0,0,0,0,0
buoyant,1,0,0,0,0,0,0,0,0,0
rise,0,0,0,0,0,0,0,0,5,0
solidify,0,0,0,0,0,0,0,0,2,0
crust,0,0,0,0,0,0,3,0,0,0
escape,0,0,0,0,0,0,0,0,3,0
ocean,0,0,0,0,0,0,1,0,0,0
predominance,0,0,0,0,0,0,1,0,0,0
apparent,5,0,0,0,0,0,0,0,0,0
landmass,0,0,0,0,0,0,1,0,0,0
determine,0,0,0,0,0,0,0,0,2,0
manner,0,0,0,0,0,0,1,0,0,0
lose,0,0,0,0,0,0,0,0,3,0
internal,5,0,0,0,0,0,0,0,0,0
example,0,0,0,0,0,0,8,0,0,0
release,0,0,0,0,0,0,1,0,2,0
account,0,0,0,0,0,0,1,0,3,0
volcanic,1,0,0,0,0,0,0,0,0,0
tectonic,1,0,0,0,0,0,0,0,0,0
activity,0,0,0,0,0,0,1,0,0,0
quickly,0,0,2,0,0,0,0,0,0,0
undergo,0,0,0,0,0,0,0,0,2,0
rapid,2,0,0,0,0,0,0,0,0,0
dissipate,0,0,0,0,0,0,0,0,1,0
feature,0,0,0,0,0,0,3,0,0,0
stabilize,0,0,0,0,0,0,0,0,1,0
largely,0,0,1,0,0,0,0,0,0,0
undisturbed,1,0,0,0,0,0,0,0,0,0
age,0,0,0,0,0,0,0,0,1,0
slowly,0,0,2,0,0,0,0,0,0,0
code,0,0,0,0,0,0,0,0,2,0
radar,0,0,0,0,0,0,2,0,0,0
topography,0,0,0,0,0,0,1,0,0,0
low,5,0,0,0,0,0,0,0,0,0
elevation,0,0,0,0,0,0,5,0,0,0
violet,1,0,0,0,0,0,0,0,0,0
high,9,0,0,0,0,0,0,0,0,0
pink,1,0,0,0,0,0,2,0,0,0
mountain,0,0,0,0,0,0,1,0,0,0
longitude,0,0,0,0,0,0,1,0,0,0
north,0,0,0,0,0,0,5,0,0,0
base,0,0,0,0,0,0,0,0,9,0
theory,0,0,0,0,0,0,4,0,0,0
observation,0,0,0,0,0,0,5,0,0,0
outside,0,3,0,0,0,0,0,0,0,0
