word,ADJ,ADP,ADV,DET,NOUN,NUM,SCONJ,VERB,X
mantle,0,0,0,0,29,0,0,1,0
challenge,0,0,0,0,1,0,0,1,0
observe,0,0,0,0,0,0,0,23,0
hide,0,0,0,0,0,0,0,3,0
dusk,0,0,0,0,1,0,0,0,0
get,0,0,0,0,0,0,0,1,0
angular,3,0,0,0,0,0,0,0,0
successive,3,0,0,0,0,0,0,0,0
elongation,0,0,0,0,1,0,0,0,0
return,0,0,0,0,0,0,0,4,0
point,0,0,0,0,9,0,0,2,0
synodic,1,0,0,0,0,0,0,0,0
turbulent,3,0,0,0,0,0,0,0,0
blur,0,0,0,0,0,0,0,1,0
observatory,0,0,0,0,2,0,0,0,0
restrict,0,0,0,0,0,0,0,2,0
sensitivity,0,0,0,0,1,0,0,0,0
instrument,0,0,0,0,12,0,0,0,0
require,0,0,0,0,0,0,0,3,0
occasionally,0,0,2,0,0,0,0,0,0
directly,0,0,4,0,0,0,0,0,0
event,0,0,0,0,8,0,0,0,0
telescopically,0,0,1,0,0,0,0,0,0
black,1,0,0,0,0,0,0,0,0
dot,0,0,0,0,1,0,0,1,0
cross,0,0,0,0,0,0,0,1,0
bright,12,0,0,0,0,0,0,0,0
disk,0,0,0,0,3,0,0,0,0
transit,0,0,0,0,2,0,0,0,0
occur,0,0,0,0,0,0,0,18,0
dozen,0,0,0,0,5,0,0,0,0
present,20,0,0,0,0,0,0,3,0
locate,0,0,0,0,0,0,0,2,0
deep,11,0,6,0,1,0,0,0,0
field,0,0,0,0,38,0,0,0,0
deal,0,0,0,0,1,0,0,0,0
need,0,0,0,0,0,0,0,3,0
trajectory,0,0,0,0,2,0,0,0,0
land,0,0,0,0,6,0,0,3,0
visit,0,0,0,0,0,0,0,2,0
brief,5,0,0,0,0,0,0,0,0
flyby,0,0,0,0,8,0,0,0,0
develop,0,0,0,0,0,0,0,10,0
subsequent,2,0,0,0,0,0,0,0,0
mission,0,0,0,0,5,0,0,0,0
spaceflight,0,0,0,0,1,0,0,0,0
engineer,0,0,0,0,1,0,0,0,0
calculate,0,0,0,0,0,0,0,2,0
complex,12,0,0,0,0,0,0,0,0
route,0,0,0,0,1,0,0,0,0
make,0,0,0,0,0,0,0,6,0
use,0,0,0,0,2,0,0,0,0
assist,0,0,0,0,1,0,0,0,0
repeat,0,0,0,0,0,0,0,1,0
course,0,0,0,0,5,0,0,0,0
design,0,0,0,0,1,0,0,0,0
conduct,0,0,0,0,0,0,0,4,0
observation,0,0,0,0,14,0,0,0,0
moderate,1,0,0,0,0,0,0,0,0
planetary,25,0,0,0,0,0,0,0,0
enter,0,0,0,0,0,0,0,4,0
elongated,5,0,0,0,0,0,0,0,0
investigation,0,0,0,0,1,0,0,0,0
heat,0,0,0,0,17,0,0,7,0
reradiate,0,0,0,0,0,0,0,3,0
designer,0,0,0,0,1,0,0,0,0
cool,3,0,0,0,0,0,0,10,0
operate,0,0,0,0,0,0,0,4,0
rotation,0,0,0,0,21,0,0,0,0
inclined,1,0,0,0,0,0,0,0,0
tilt,0,0,0,0,4,0,0,3,0
ecliptic,0,0,0,0,1,0,0,0,0
plane,0,0,0,0,6,0,0,0,0
eccentric,3,0,0,0,0,0,0,0,0
perihelion,0,0,0,0,3,0,0,0,0
farth,2,0,0,0,0,0,0,0,0
aphelion,0,0,0,0,2,0,0,0,0
sidereal,4,0,0,0,0,0,0,0,0
cause,0,0,0,0,4,0,0,18,0
drift,0,0,0,0,0,0,0,2,0
slowly,0,0,13,0,0,0,0,0,0
westward,1,0,2,0,0,0,0,0,0
combine,0,0,0,0,0,0,0,4,0
mercurian,3,0,0,0,0,0,0,0,0
circuit,0,0,0,0,1,0,0,0,0
face,0,0,0,0,5,0,0,0,0
composite,1,0,0,0,2,0,0,0,0
separate,2,0,0,0,0,0,0,3,0
image,0,0,0,0,16,0,0,4,0
ultraviolet,2,0,0,0,5,0,0,0,0
interval,0,0,0,0,2,0,0,0,0
seven,0,0,0,0,0,1,0,0,0
minute,1,0,0,0,5,0,0,0,0
describe,0,0,0,0,0,0,0,3,0
law,0,0,0,0,1,0,0,0,0
travel,0,0,0,0,0,0,0,3,0
swiftly,0,0,1,0,0,0,0,0,0
reverse,0,0,0,0,0,0,0,3,0
briefly,0,0,2,0,0,0,0,0,0
move,0,0,0,0,0,0,0,8,0
eastward,1,0,2,0,0,0,0,0,0
resume,0,0,0,0,0,0,0,1,0
westerly,1,0,0,0,0,0,0,0,0
advance,0,0,0,0,1,0,0,0,0
location,0,0,0,0,13,0,0,0,0
equator,0,0,0,0,9,0,0,0,0
oscillation,0,0,0,0,2,0,0,0,0
place,0,0,0,0,12,0,0,1,0
noon,0,0,0,0,1,0,0,0,0
pole,0,0,0,0,29,0,0,0,0
overhead,1,0,0,0,0,0,0,0,0
linger,0,0,0,0,0,0,0,2,0
preferentially,0,0,2,0,0,0,0,0,0
exceed,0,0,0,0,0,0,0,2,0
kelvin,0,0,0,0,3,0,0,0,0
equatorial,6,0,0,0,0,0,0,0,0
perspective,0,0,0,0,2,0,0,0,0
low,30,0,3,0,0,0,0,0,0
grow,0,0,0,0,0,0,0,11,0
brightest,0,0,1,0,0,0,0,0,0
perform,0,0,0,0,0,0,0,1,0
reversal,0,0,0,0,4,0,0,0,0
north,2,0,1,0,12,0,0,0,0
south,3,0,0,0,5,0,0,0,0
rotational,5,0,0,0,0,0,0,0,0
ground,0,0,0,0,8,0,0,0,0
cold,9,0,0,0,0,0,0,0,0
graze,0,0,0,0,0,0,0,1,0
drop,0,0,0,0,0,0,0,3,0
night,0,0,0,0,4,0,0,0,0
nightside,0,0,0,0,2,0,0,0,0
perpetually,0,0,1,0,0,0,0,0,0
perpetual,2,0,0,0,0,0,0,0,0
darkness,0,0,0,0,1,0,0,0,0
earth,0,0,0,0,6,0,0,0,0
base,0,0,0,0,4,0,0,6,0
prove,0,0,0,0,0,0,0,2,0
astronomer,0,0,0,0,9,0,0,0,0
believe,0,0,0,0,0,0,0,6,0
case,0,0,0,0,3,0,0,0,0
follow,0,0,0,0,0,0,0,4,0
synchronous,3,0,0,0,0,0,0,0,0
telescopic,6,0,0,0,0,0,0,0,0
limit,0,0,0,0,1,0,0,3,0
periodically,0,0,1,0,0,0,0,0,0
dictate,0,0,0,0,0,0,0,1,0
mislead,0,0,0,0,0,0,0,1,0
conclude,0,0,0,0,0,0,0,3,0
barely,0,0,1,0,0,0,0,0,0
distinguishable,1,0,0,0,0,0,0,0,0
occasion,0,0,0,0,2,0,0,0,0
indicate,0,0,0,0,0,0,0,11,0
reveal,0,0,0,0,0,0,0,7,0
exactly,0,0,2,0,0,0,0,0,0
eccentricity,0,0,0,0,1,0,0,0,0
strong,8,0,0,0,0,0,0,0,0
tide,0,0,0,0,6,0,0,0,0
deformation,0,0,0,0,7,0,0,0,0
raise,0,0,0,0,0,0,0,9,0
gravitational,13,0,0,0,0,0,0,0,0
attraction,0,0,0,0,2,0,0,0,0
apparently,0,0,5,0,0,0,0,0,0
rotate,0,0,0,0,0,0,0,7,0
presumably,0,0,7,0,0,0,0,0,0
spin,0,0,0,0,7,0,0,3,0
fast,1,0,1,0,0,0,0,0,0
form,0,0,0,0,8,0,0,51,0
slow,3,0,0,0,0,0,0,7,0
tidal,8,0,0,0,0,0,0,0,0
instead,0,0,6,0,0,0,0,0,0
state,0,0,0,0,2,0,0,0,0
happen,0,0,0,0,0,0,0,2,0
rate,0,0,0,0,8,0,0,0,0
tug,0,0,0,0,0,0,0,1,0
repeatedly,0,0,1,0,0,0,0,0,0
especially,0,0,4,0,0,0,0,0,0
strongly,0,0,2,0,0,0,0,0,0
tidally,0,0,1,0,0,0,0,0,0
induce,0,0,0,0,0,0,0,3,0
bulge,0,0,0,0,2,0,0,0,0
chance,0,0,0,0,4,0,0,0,0
greatly,0,0,3,0,0,0,0,0,0
enhance,0,0,0,0,0,0,0,2,0
friction,0,0,0,0,1,0,0,0,0
solid,15,0,0,0,0,0,0,0,0
molten,6,0,0,0,0,0,0,0,0
young,14,0,0,0,0,0,0,0,0
possibility,0,0,0,0,2,0,0,0,0
sure,1,0,0,0,0,0,0,0,0
trillionth,0,0,0,0,1,0,0,0,0
trace,1,0,0,0,4,0,0,0,0
atmospheric,23,0,0,0,0,0,0,0,0
component,0,0,0,0,6,0,0,0,0
detect,0,0,0,0,0,0,0,8,0
provide,0,0,0,0,0,0,0,10,0
clue,0,0,0,0,4,0,0,0,0
interesting,4,0,0,0,0,0,0,0,0
process,0,0,0,0,21,0,0,0,0
find,0,0,0,0,0,0,0,21,0
amount,0,0,0,0,12,0,0,0,0
atomic,4,0,0,0,0,0,0,0,0
atom,0,0,0,0,6,0,0,0,0
